,Date,Close,High,Low,Open,Volume,k,d,macd,macdsignal,macdhist,upperband,middleband,lowerband,rsi,adx,+di,-di,TAS,TBC,EveningStar,MorningStar,Engulfing
53,2024-12-16,251.0399932861328,251.3800048828125,247.64999389648438,247.99000549316406,51694800,77.82892674039114,71.0723687061362,5.34641872718305,4.345734167344623,1.0006845598384269,251.27221243645684,248.2780029296875,245.28379342291814,79.03229975775844,38.710228087672974,34.86213119304028,7.590294615303747,0,0,0,0,0
54,2024-12-17,253.47999572753906,253.8300018310547,249.77999877929688,250.0800018310547,51356400,86.85779868343936,76.17244591595657,5.670206414804426,4.610628616836584,1.059577797967842,254.43904329366984,249.4200012207031,244.4009591477364,81.18384472787196,40.81844340709438,36.93518520152002,6.976399813363085,0,0,0,0,0
55,2024-12-18,248.0500030517578,254.27999877929688,247.74000549316406,252.16000366210938,56774100,72.54478964245094,79.07717168876046,5.426106681228333,4.773724229714934,0.6523824515133994,254.14051800748862,249.73200073242188,245.32348345735514,65.15977367379335,41.68458188582544,32.380802088968814,9.96243620771087,0,0,0,0,0
56,2024-12-19,249.7899932861328,252.0,247.08999633789062,247.5,60882300,55.805935310835245,71.73617454557517,5.311827117422524,4.881344807256452,0.43048231016607197,254.14644573647118,250.097998046875,246.04955035727883,67.38154273200671,42.15863024361855,29.4452258354588,10.259434244749716,0,0,0,0,0
57,2024-12-20,254.49000549316406,255.0,245.69000244140625,248.0399932861328,147495300,55.41147714199767,61.254067365094606,5.536687952979747,5.012413436401111,0.524274516578636,256.0871347267325,251.3699981689453,246.65286161115813,72.48559319150321,43.08096943286518,29.879194481275427,8.656858650590324,0,0,0,0,0
58,2024-12-23,255.27000427246094,255.64999389648438,253.4499969482422,254.77000427246094,40858800,78.28701021926221,63.16814089069836,5.7119869381268416,5.152328136746258,0.5596588013805839,257.82576096194623,252.21600036621095,246.60623977047567,73.23412893728462,44.03234097787215,29.866426020214377,8.325892846484177,0,0,0,0,0
59,2024-12-24,258.20001220703125,258.2099914550781,255.2899932861328,255.49000549316406,23234700,96.87573674519005,76.85807470214996,6.017968406306068,5.32545619065822,0.6925122156478478,260.5946129861385,253.16000366210938,245.72539433808026,75.88780933479433,45.262879216033454,32.849964854865505,7.891682238155939,0,0,0,0,0
60,2024-12-26,259.0199890136719,260.1000061035156,257.6300048828125,258.19000244140625,27237100,96.20340712058412,90.45538469501211,6.254527895508346,5.511270531628245,0.743257363880101,261.88092806002777,255.3540008544922,248.82707364895663,76.58738487427095,46.63078587192792,34.81764212198474,7.536090132653062,0,0,0,0,0
61,2024-12-27,255.58999633789062,258.70001220703125,253.05999755859375,257.8299865722656,42355300,87.04253725434779,93.3738937067073,6.09497220612576,5.628010866527748,0.46696133959801234,260.0490239541885,256.5140014648438,252.97897897549907,67.73451140585831,45.84694271879854,31.168193117639696,14.783283497263767,0,0,0,0,0
62,2024-12-30,252.1999969482422,253.5,250.75,252.22999572753906,35557500,58.905098971650695,80.71701444886085,5.630078512921045,5.628424395806407,0.0016541171146382538,260.87975161092453,256.0559997558594,251.23224790079425,60.3139631517661,44.27673161601697,28.551013380171213,17.549574865326573,0,0,0,0,0
63,2024-12-31,250.4199981689453,253.27999877929688,249.42999267578125,252.44000244140625,39480700,31.162866403240486,59.03683420974631,5.059690918894546,5.514677700424035,-0.454986781529489,261.75100809830036,255.08599853515625,248.42098897201217,56.79556347941265,42.369400542918015,26.635094021113897,18.672664733603376,0,0,0,0,0
64,2025-01-02,243.85000610351562,249.10000610351562,241.82000732421875,248.92999267578125,55740700,11.963798611924991,34.01058799560538,4.031043825262373,5.217950925391703,-1.1869071001293303,262.449035977024,252.21599731445312,241.98295865188223,46.104908901347684,40.100783910409426,22.933070611552438,28.376369964135904,0,0,0,0,0
65,2025-01-03,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100,9.835532514516903,17.654065843227446,3.1400971589988558,4.802380172113134,-1.662283013114278,258.6330803249832,249.08399963378906,239.5349189425949,45.41824997818935,37.99421132308003,22.05405948648934,27.288720372422848,0,0,0,0,0
66,2025-01-06,245.0,247.3300018310547,243.1999969482422,244.30999755859375,45045600,15.818062994938623,12.539131373793493,2.537103600741574,4.3493248578388215,-1.8122212570972476,254.2269993589842,246.96600036621095,239.7050013734377,48.19898490189245,35.33789227575327,25.810588336096206,25.397978046745106,0,0,0,0,0
67,2025-01-07,242.2100067138672,245.5500030517578,241.35000610351562,242.97999572753906,40856000,14.51929638631159,13.390963965255692,1.8131963217232396,3.842099150615705,-2.0289028288924653,250.70681107308985,244.96800231933594,239.22919356558202,44.084268314239495,33.1973759936261,23.990191846876062,26.71330654714394,0,0,0,0,0
68,2025-01-08,242.6999969482422,243.7100067138672,240.0500030517578,241.9199981689453,37628900,21.23879982092615,17.192053067392106,1.2644568332490849,3.326570687142381,-2.062113853893296,245.3563194900669,243.42400207519532,241.49168466032373,44.972750633112554,31.509272406755343,22.500882660025113,27.259974063255683,0,0,0,0,0
